T2M,RH2M,WS10M,WS50M,T2M_MAX,T2M_MIN,WS10M_MAX,WS10M_MIN,WS50M_MAX,WS50M_MIN,PS
26.85,75.0,4.75,6.62,33.94,21.2,9.6,0.56,11.96,0.7,95.94
24.9,85.56,4.41,6.42,32.05,19.89,9.34,0.41,11.73,0.62,96.02
24.43,82.25,3.47,5.08,29.94,18.17,9.1,0.09,11.57,0.15,96.27
24.44,73.56,2.79,4.22,32.48,14.6,8.79,0.3,11.67,0.43,96.58
23.05,68.5,3.01,4.71,32.63,11.8,6.83,0.04,8.25,0.09,96.89
20.64,56.38,2.7,4.2,30.76,11.72,4.94,0.28,8.0,0.36,97.19
23.14,31.69,2.77,4.27,34.94,12.67,5.33,0.2,8.49,0.08,97.0
24.4,23.12,3.38,4.97,37.66,9.62,6.85,0.14,9.41,0.16,96.88
28.36,29.81,3.05,4.66,40.07,17.03,7.53,0.19,10.17,0.23,96.69
33.4,24.69,3.12,4.53,43.29,19.29,7.06,0.09,10.19,0.21,96.39
35.68,24.88,4.25,5.8,45.32,24.41,9.8,0.3,11.8,0.25,96.02
30.61,54.56,5.12,6.71,42.79,22.12,14.07,0.7,17.29,0.83,95.92
26.06,79.69,5.12,7.07,33.24,21.62,10.58,0.15,13.35,0.25,95.85
25.32,83.88,4.38,6.27,30.46,21.14,8.22,0.66,10.32,0.95,96.11
25.02,85.12,3.36,4.97,30.38,20.18,8.08,0.4,10.1,0.57,96.22
24.4,83.38,2.47,3.85,30.7,15.09,5.6,0.16,7.44,0.2,96.7
21.31,69.06,2.81,4.45,31.44,11.06,7.53,0.54,9.21,0.53,96.93
19.37,53.31,2.75,4.25,30.87,9.77,5.69,0.17,8.6,0.23,97.11
23.19,47.44,3.01,4.57,34.52,12.63,5.97,0.39,8.45,0.59,96.89
25.51,34.19,3.33,5.04,37.08,12.26,6.92,0.21,9.53,0.24,96.68
31.05,21.69,2.76,4.13,42.19,17.36,7.11,0.19,9.54,0.21,96.56
32.31,31.5,2.9,4.17,42.08,22.35,8.03,0.16,9.66,0.22,96.36
35.34,26.94,3.95,5.37,45.87,25.27,8.94,0.3,10.72,0.34,96.04
29.06,63.75,5.55,7.23,41.51,22.09,10.39,0.42,12.7,0.49,95.72
25.58,80.56,6.2,8.52,33.88,20.95,11.64,1.95,14.79,3.45,95.8
25.02,84.19,4.97,7.09,31.98,20.87,9.44,0.41,12.07,0.55,95.98
24.42,81.94,3.47,5.05,30.49,16.42,8.73,0.24,11.02,0.32,96.36
23.88,84.5,2.68,4.1,29.61,18.15,7.27,0.09,9.67,0.09,96.65
21.3,77.88,2.77,4.3,30.51,12.12,6.86,0.33,8.4,0.36,97.05
19.36,56.0,2.76,4.28,29.98,8.86,5.62,0.29,8.0,0.34,97.18
19.26,58.38,3.3,5.05,30.68,9.03,8.4,0.51,10.7,0.64,97.1
24.59,39.44,3.17,4.91,37.05,14.15,6.76,0.3,10.08,0.09,96.8
29.8,36.0,2.85,4.19,40.81,18.08,7.49,0.05,10.13,0.19,96.62
32.87,31.19,2.98,4.37,43.37,21.09,7.28,0.21,10.07,0.32,96.38
32.54,38.44,4.12,5.76,42.53,23.27,9.94,0.31,12.62,0.27,96.0
31.23,52.75,4.79,6.47,44.15,22.14,9.93,0.42,11.87,0.73,95.75
25.82,82.44,4.62,6.55,33.64,21.3,10.22,0.33,12.84,0.32,95.83
25.62,84.81,3.85,5.66,31.05,21.68,8.42,0.26,10.47,0.34,95.99
25.27,83.69,3.38,4.91,30.88,20.08,10.53,0.04,13.44,0.06,96.18
23.76,85.62,3.12,4.68,30.57,15.51,8.29,0.28,10.91,0.21,96.48
20.74,76.25,2.65,4.04,28.3,13.65,5.59,0.02,7.67,0.03,96.77
20.43,68.69,2.84,4.45,29.34,11.81,5.54,0.2,9.01,0.28,97.18
22.85,51.88,3.32,5.1,34.11,13.42,6.67,0.27,9.72,0.22,96.87
25.42,39.75,3.41,5.17,37.74,12.7,7.01,0.07,9.8,0.13,96.74
30.46,22.31,3.07,4.57,42.6,17.15,6.95,0.03,9.99,0.03,96.44
32.0,35.31,3.27,4.74,44.9,19.9,8.31,0.07,10.0,0.13,96.29
34.83,23.0,4.45,6.23,44.24,23.71,9.31,0.14,11.26,0.66,96.08
31.01,53.38,5.05,6.55,42.69,22.58,12.03,0.45,14.57,0.46,95.86
26.67,75.94,5.06,7.01,35.87,21.58,10.82,0.45,13.67,0.48,95.85
25.18,84.81,4.08,5.95,32.48,21.54,9.32,0.41,12.49,0.59,96.0
25.21,85.38,2.65,3.99,30.96,19.8,7.32,0.12,9.34,0.12,96.11
23.33,82.69,2.92,4.43,29.3,15.17,8.65,0.2,10.96,0.26,96.53
21.12,70.0,2.48,3.71,29.65,12.26,6.63,0.27,8.26,0.4,96.83
20.15,51.25,2.66,4.04,30.8,8.26,5.66,0.34,7.45,0.5,97.04
20.33,54.69,2.81,4.38,31.08,7.3,5.54,0.17,8.93,0.22,97.0
23.73,24.06,2.57,3.66,37.62,10.08,5.71,0.09,8.36,0.09,96.77
29.83,23.88,2.95,4.41,40.58,15.88,7.46,0.07,8.98,0.02,96.66
29.94,39.62,2.89,4.32,39.94,20.14,7.5,0.1,9.24,0.14,96.5
33.31,32.88,3.53,5.08,43.93,22.51,8.8,0.06,10.66,0.08,96.17
30.08,56.81,5.12,6.83,40.43,22.55,9.67,0.28,11.7,0.37,96.07
26.64,76.56,5.32,7.38,34.19,21.63,10.23,0.61,13.12,0.83,95.88
25.65,80.69,5.26,7.48,32.63,20.58,10.99,0.5,14.18,0.73,96.07
25.32,83.81,2.49,3.76,30.87,19.66,6.56,0.18,8.26,0.16,96.43
25.37,71.06,2.29,3.64,33.4,18.3,5.77,0.08,7.95,0.27,96.92
24.68,74.56,2.52,4.03,33.19,17.67,5.91,0.2,8.02,0.17,96.91
23.36,71.0,3.08,4.74,31.7,12.19,6.16,0.14,8.91,0.18,97.0
24.11,51.06,3.13,4.68,34.71,12.89,7.23,0.1,9.53,0.01,96.97
24.69,42.38,3.0,4.52,37.31,12.58,6.65,0.23,9.1,0.12,96.92
29.93,27.19,3.39,5.02,41.58,16.89,6.98,0.31,9.39,0.36,96.66
34.62,25.25,3.33,4.7,43.8,20.79,7.97,0.36,10.59,0.33,96.39
36.37,27.56,3.97,5.44,46.01,27.48,8.8,0.25,10.93,0.29,96.02
31.3,55.31,4.88,6.34,45.09,23.61,10.56,0.26,12.93,0.44,95.8
27.18,76.5,4.28,6.0,34.33,21.54,9.87,0.39,12.2,0.59,95.9
26.0,86.56,3.62,5.31,31.62,22.51,7.46,0.34,9.27,0.49,96.06
25.19,88.31,3.3,4.97,30.13,21.19,8.55,0.11,10.75,0.16,96.11
24.28,86.69,2.8,4.33,30.16,16.3,7.35,0.15,9.15,0.15,96.44
21.5,79.19,2.47,3.87,29.3,11.74,5.36,0.05,7.41,0.12,96.78
18.48,60.19,2.31,3.42,27.81,10.12,4.57,0.28,7.03,0.35,97.1
20.51,45.25,2.53,3.91,33.1,8.94,4.88,0.35,7.88,0.26,96.87
26.37,37.94,3.24,4.95,38.26,14.37,7.23,0.23,10.17,0.28,96.89
30.46,18.0,2.88,4.2,42.45,17.91,6.17,0.12,8.62,0.16,96.34
33.87,17.19,3.46,5.12,44.94,21.35,8.88,0.11,10.54,0.26,96.12
32.51,44.38,4.51,5.91,44.99,22.52,8.41,0.18,10.8,0.05,95.95
28.19,65.06,5.34,7.16,39.94,21.3,11.15,0.4,13.95,0.57,95.94
26.74,74.31,5.12,7.05,35.1,21.88,10.83,0.17,13.45,0.18,95.84
25.29,82.62,4.27,6.15,31.76,21.44,9.67,0.76,12.2,0.66,96.08
25.04,84.19,3.75,5.54,31.8,20.88,8.62,0.28,11.25,0.3,96.19
24.5,78.12,2.91,4.6,31.9,14.69,6.94,0.18,8.33,0.24,96.48
22.51,56.94,3.14,4.98,32.76,11.51,6.22,0.41,8.59,0.49,96.92
20.8,42.88,2.91,4.77,31.9,10.23,5.55,0.57,8.75,0.45,97.02
23.15,29.81,3.0,4.69,35.2,10.26,5.45,0.09,9.22,0.09,96.87
24.76,41.69,3.07,4.55,35.26,12.77,7.27,0.12,10.01,0.16,96.64
27.87,23.75,2.87,4.27,40.24,14.49,6.88,0.18,9.93,0.21,96.52
34.37,22.44,3.59,5.21,44.8,20.14,8.66,0.17,10.48,0.23,96.14
32.65,42.44,4.38,5.77,44.52,23.65,8.82,0.41,10.5,0.41,96.05
27.44,72.44,4.57,6.23,35.13,21.89,11.27,0.24,14.47,0.41,95.81
25.91,79.38,4.96,6.87,31.88,21.3,10.41,0.15,12.99,0.24,95.85
25.54,83.19,4.45,6.29,32.17,20.46,9.38,0.35,12.72,0.55,95.92
25.37,82.69,3.0,4.45,31.44,19.86,7.7,0.41,10.18,0.43,96.29
26.04,64.62,2.09,3.22,34.94,16.69,5.78,0.2,8.41,0.18,96.46
24.44,48.75,2.92,4.91,34.44,14.21,5.37,0.19,8.25,0.24,96.77
22.08,22.19,2.95,4.41,33.01,11.48,5.69,0.25,8.31,0.31,96.94
23.33,34.19,2.87,4.41,34.98,12.31,5.6,0.13,8.57,0.13,96.81
26.26,20.06,2.91,4.35,38.39,13.04,6.39,0.2,9.51,0.31,96.63
29.65,32.94,3.03,4.49,39.96,19.26,7.31,0.16,9.54,0.2,96.49
31.91,37.56,3.02,4.42,43.83,21.47,7.07,0.07,9.66,0.1,96.38
35.06,29.5,4.67,6.17,44.92,26.49,10.61,0.1,13.33,0.39,95.98
27.61,68.75,5.55,7.48,39.88,20.75,12.66,0.19,16.06,0.17,95.87
27.25,70.56,5.19,7.09,36.28,21.87,10.3,0.11,12.5,0.16,95.93
24.96,85.19,4.93,6.99,30.7,20.83,9.24,0.31,11.5,0.3,96.02
25.88,80.75,2.34,3.57,33.3,21.15,5.9,0.17,7.33,0.24,96.27
23.87,82.12,2.87,4.49,30.47,14.96,6.46,0.23,8.88,0.31,96.52
23.03,65.81,2.96,4.79,32.77,13.13,7.05,0.2,9.11,0.27,96.89
21.37,41.31,2.98,4.79,32.58,11.48,6.25,1.0,8.42,1.05,97.17
21.91,46.75,3.02,4.7,34.16,9.72,5.86,0.51,8.82,0.73,96.93
26.55,35.88,3.14,4.92,37.65,16.42,6.88,0.38,8.93,0.34,96.96
30.22,24.94,2.84,4.19,40.76,19.28,5.88,0.09,8.99,0.12,96.55
34.21,23.5,2.75,3.93,43.7,21.61,8.3,0.16,10.01,0.16,96.28
34.89,36.25,4.98,6.78,44.38,23.69,11.64,0.22,14.26,0.35,95.96
29.15,66.19,4.77,6.44,40.15,22.93,10.06,0.64,12.5,0.91,95.91
27.57,71.25,5.32,7.29,35.27,22.04,9.21,0.28,11.91,0.4,96.07
25.19,84.31,5.29,7.5,31.23,20.44,10.26,1.05,13.13,1.19,96.0
25.55,79.38,3.35,4.92,33.4,19.9,7.59,0.16,9.9,0.2,96.37
25.29,67.5,2.78,4.34,35.94,15.34,7.23,0.18,8.74,0.21,96.62
23.69,45.06,2.91,4.57,34.6,13.42,5.49,0.34,7.9,0.42,96.86
23.49,36.69,2.83,4.45,34.25,13.71,5.39,0.12,8.47,0.17,96.99
23.73,35.56,2.94,4.71,35.76,9.82,5.78,0.2,8.59,0.27,97.06
27.56,37.62,3.16,4.73,37.95,17.31,6.69,0.3,9.97,0.3,96.76
30.07,30.56,3.12,4.52,40.19,16.48,6.67,0.09,8.85,0.05,96.59
33.76,29.38,3.02,4.32,43.76,21.76,7.33,0.42,10.13,0.45,96.33
35.3,20.44,4.51,6.36,44.25,24.3,10.45,0.23,12.59,0.34,96.04
30.91,54.19,5.55,7.34,45.2,22.37,10.66,0.59,13.29,0.73,95.84
26.07,81.75,4.55,6.46,32.44,22.33,9.78,0.38,12.27,0.55,95.96
25.26,85.81,4.4,6.45,31.44,19.94,8.45,0.41,10.74,0.66,96.05
25.26,85.31,3.85,5.7,30.44,21.01,7.06,0.09,8.78,0.01,96.21
24.15,81.62,2.96,4.55,31.46,13.93,6.61,0.48,9.34,0.52,96.58
21.91,70.62,2.7,4.36,31.07,14.3,4.95,0.02,7.62,0.03,97.0
20.87,55.94,3.18,5.07,32.05,11.09,8.34,0.59,10.22,0.59,97.09
22.14,52.25,3.3,5.09,33.48,11.95,6.98,0.43,9.86,0.55,96.92
23.6,41.0,3.02,4.69,37.83,9.17,6.19,0.13,9.27,0.08,96.89
30.59,24.06,2.79,4.15,41.76,17.21,6.48,0.19,9.64,0.38,96.55
32.48,35.38,3.3,4.8,43.53,20.28,7.41,0.15,10.04,0.31,96.28
32.03,48.56,4.74,6.18,42.16,23.59,10.2,0.3,11.75,0.44,96.04
30.05,57.94,5.85,7.48,41.93,22.73,12.28,0.45,15.01,0.51,95.99
25.96,80.38,4.56,6.39,33.8,21.76,9.97,1.16,12.61,1.71,95.95
25.58,81.88,5.53,7.78,31.66,21.26,10.07,1.62,12.7,2.73,96.0
25.94,80.69,2.72,4.12,33.16,20.94,7.73,0.12,9.73,0.14,96.35
24.5,71.88,2.59,4.16,33.13,14.22,5.75,0.05,8.26,0.05,96.78
23.75,55.38,3.09,5.04,33.55,13.63,5.89,0.14,8.62,0.65,96.99
22.08,38.69,2.9,4.61,32.69,12.79,5.77,0.09,8.47,0.1,97.01
23.21,43.69,3.14,4.87,33.18,11.59,6.73,0.09,10.06,0.18,96.88
25.58,40.88,3.14,4.92,37.83,11.51,6.32,0.06,9.84,0.07,96.87
29.49,28.31,3.13,4.7,40.84,16.55,7.04,0.14,10.38,0.21,96.63
32.44,34.25,2.98,4.17,41.81,21.69,8.02,0.09,10.22,0.06,96.49
34.79,28.5,3.78,5.25,44.45,23.85,8.47,0.06,10.41,0.25,96.08
31.3,54.88,5.23,6.83,43.38,22.55,12.16,0.09,15.14,0.41,95.79
25.92,82.88,5.43,7.56,33.45,20.95,12.02,0.47,15.37,0.77,95.9
25.27,86.56,4.2,6.02,29.97,21.7,10.49,0.16,13.21,0.33,96.1
25.23,87.94,3.62,5.38,30.72,19.84,8.4,0.17,10.76,0.31,96.13
23.77,84.19,2.84,4.34,30.44,16.59,6.6,0.35,8.54,0.48,96.6
19.04,73.94,2.39,3.48,27.05,10.48,5.02,0.25,6.34,0.3,96.96
18.94,64.25,2.49,3.78,28.76,8.92,4.8,0.39,7.73,0.43,96.95
20.88,48.25,2.68,4.03,33.8,8.26,6.89,0.19,8.27,0.15,97.0
25.87,30.38,2.92,4.41,38.8,14.31,5.95,0.14,9.58,0.02,96.85
28.19,43.69,3.09,4.64,39.81,16.17,6.84,0.12,9.17,0.27,96.57
32.44,33.56,2.61,3.8,43.28,21.32,7.04,0.17,9.82,0.2,96.28
32.33,46.06,3.78,5.27,43.76,23.86,9.02,0.08,10.73,0.18,96.05
29.02,64.5,4.27,5.77,38.61,23.08,8.41,0.27,10.14,0.31,95.98
26.68,75.75,6.17,8.41,34.73,21.67,13.16,1.87,16.26,3.66,95.9
25.11,85.06,5.45,7.74,31.04,20.33,10.71,1.41,14.27,2.23,95.98
25.18,86.75,2.93,4.48,31.84,20.15,7.2,0.05,8.95,0.12,96.25
24.39,79.62,2.21,3.34,30.83,17.08,6.39,0.09,8.05,0.09,96.8
21.86,77.25,2.38,3.76,30.5,14.17,4.24,0.3,7.41,0.41,96.92
21.33,62.5,2.52,4.01,30.73,11.58,6.14,0.27,7.85,0.3,97.09
22.62,44.69,2.84,4.61,34.09,12.46,6.2,0.53,9.63,0.78,97.09
25.65,33.88,3.36,5.01,36.9,15.23,8.09,0.04,10.48,0.06,96.77
29.87,26.25,3.13,4.72,40.71,16.87,7.48,0.12,10.23,0.09,96.59
33.03,29.0,2.83,4.13,43.03,22.07,6.62,0.11,9.08,0.16,96.36
35.31,29.31,3.99,5.56,43.82,26.13,9.27,0.33,10.99,0.34,96.01
29.22,66.94,4.86,6.49,40.69,23.02,17.95,0.45,22.28,0.73,95.81
26.93,76.5,4.73,6.55,34.38,22.36,11.97,0.48,15.01,0.69,95.91
25.61,83.12,4.37,6.36,32.22,20.88,11.7,0.82,15.55,1.02,95.98
25.16,87.94,3.22,4.87,30.82,19.33,6.98,0.18,8.67,0.29,96.06
22.4,77.62,2.58,3.95,29.38,14.87,5.34,0.23,7.35,0.42,96.6
20.88,66.12,2.69,4.12,29.86,10.37,6.97,0.16,8.63,0.27,96.9
21.94,56.94,2.62,4.16,33.39,12.86,5.2,0.12,8.06,0.21,96.95
22.21,36.62,2.98,4.68,33.14,10.76,5.22,0.2,8.76,0.23,96.86
24.01,42.06,2.74,4.05,35.62,10.05,4.8,0.27,7.93,0.32,96.8
28.31,41.19,3.15,4.73,38.76,16.64,8.14,0.06,10.16,0.07,96.5
30.9,39.06,2.93,4.39,43.72,17.04,7.68,0.09,9.36,0.12,96.3
34.44,26.25,4.95,6.9,44.05,24.05,9.84,0.14,11.65,0.22,96.01
28.72,62.75,5.12,6.95,41.01,22.55,10.26,0.3,12.45,0.22,95.94
27.33,71.69,4.16,5.91,36.62,21.82,10.24,0.41,12.72,0.5,95.91
25.26,85.56,4.24,6.11,31.66,21.15,10.16,0.24,13.53,0.21,96.0
24.91,86.0,3.09,4.65,30.84,18.24,7.77,0.28,10.34,0.45,96.23
23.55,77.56,2.32,3.56,30.51,14.09,5.43,0.07,7.07,0.23,96.7
22.31,71.06,2.68,4.15,31.22,12.61,6.88,0.09,8.92,0.08,96.83
22.05,54.12,2.4,3.69,32.51,12.4,5.27,0.2,7.38,0.27,96.95
23.5,44.56,3.07,4.8,36.83,13.15,5.8,0.48,8.93,0.62,96.99
27.14,26.94,2.69,4.12,39.4,15.83,4.78,0.29,7.53,0.48,96.72
30.08,23.94,2.85,4.16,40.82,19.38,6.88,0.2,10.23,0.18,96.56
33.11,23.25,3.09,4.51,43.47,22.37,7.45,0.29,9.38,0.41,96.29
34.34,32.62,3.84,5.3,44.45,24.68,9.65,0.11,11.46,0.17,95.96
30.36,58.56,5.05,6.66,41.88,22.94,9.23,0.73,11.8,0.75,95.92
26.94,74.69,6.11,8.33,34.28,22.39,12.12,0.27,15.19,0.27,95.84
26.93,77.12,3.76,5.36,35.19,21.96,7.77,0.29,9.44,0.32,96.12
25.98,83.31,3.12,4.66,32.12,20.78,8.2,0.23,10.33,0.27,96.22
24.11,73.06,2.56,3.82,30.91,14.62,8.01,0.1,11.2,0.12,96.61
22.84,69.31,2.95,4.61,33.31,11.15,7.93,0.3,10.06,0.27,96.83
21.89,57.44,2.67,4.3,31.55,11.7,5.36,0.5,8.56,0.55,97.0
21.68,41.94,2.93,4.64,32.32,10.56,6.34,0.2,8.08,0.29,97.1
27.13,36.44,3.16,4.73,37.46,15.9,6.25,0.23,8.86,0.34,96.8
31.53,24.56,2.78,4.16,42.02,19.05,6.77,0.13,9.62,0.21,96.63
34.68,23.12,2.93,4.13,43.93,20.97,7.1,0.09,9.02,0.12,96.37
35.48,29.94,4.05,5.49,45.31,22.91,11.35,0.26,13.88,0.36,95.95
30.75,58.5,4.84,6.3,43.08,23.7,11.32,0.09,13.47,0.14,95.97
25.75,84.81,4.56,6.49,31.34,21.73,9.44,0.7,11.99,1.07,95.94
25.52,87.44,3.59,5.33,30.9,20.21,8.27,0.29,10.25,0.48,96.0
24.92,88.19,3.2,4.8,29.83,18.55,8.24,0.4,10.47,0.55,96.23
23.84,85.12,2.98,4.6,30.26,15.51,6.12,0.72,9.03,0.7,96.4
23.33,85.0,2.71,4.3,29.62,16.55,7.7,0.55,9.61,0.61,96.73
19.41,71.75,2.73,4.32,28.48,8.86,5.66,0.06,7.93,0.05,96.74
20.37,51.19,2.87,4.58,32.97,9.0,5.37,0.13,9.17,0.16,96.88
24.81,43.88,3.02,4.64,35.1,14.76,7.19,0.21,10.05,0.12,96.73
29.69,25.25,2.89,4.33,40.15,17.76,6.47,0.34,8.67,0.45,96.56
32.3,31.69,3.27,4.57,42.55,19.59,7.27,0.32,9.21,0.35,96.36
34.83,28.94,3.9,5.33,44.08,25.15,9.43,0.34,11.21,0.46,96.08
29.55,60.56,5.87,7.66,38.9,23.83,10.39,0.52,13.29,0.66,95.87
26.48,78.69,4.82,6.73,35.66,21.87,8.56,0.38,11.77,0.52,95.85
25.49,84.94,4.27,6.16,32.33,21.35,9.66,0.34,13.01,0.5,95.93
25.15,85.06,3.62,5.35,30.58,20.64,8.67,0.25,11.13,0.34,96.18
24.53,76.88,2.4,3.83,31.41,16.27,5.27,0.05,7.92,0.06,96.66
23.21,58.0,2.98,4.91,33.27,14.15,5.5,0.44,7.91,0.48,96.87
22.26,39.06,3.11,5.0,33.52,11.55,6.99,0.45,8.59,0.6,96.88
23.08,37.25,2.91,4.48,34.22,9.7,7.1,0.18,8.66,0.12,96.84
25.89,26.62,3.17,4.9,38.19,12.63,7.3,0.37,9.35,0.38,96.7
28.74,16.62,3.14,4.64,40.8,14.29,6.89,0.31,10.31,0.2,96.57
33.73,28.38,2.95,4.21,42.05,23.58,9.24,0.1,10.91,0.09,96.3
35.3,24.5,4.59,6.29,43.87,24.56,10.67,0.09,12.84,0.12,96.01
30.14,56.69,5.12,6.89,43.31,22.6,9.63,0.3,12.42,0.12,95.91
26.18,78.81,5.08,7.1,34.23,21.87,9.39,0.31,12.0,0.42,95.87
25.67,82.5,4.66,6.71,31.77,21.29,9.64,0.41,12.4,0.56,96.01
25.29,85.38,3.36,4.94,31.07,20.85,8.28,0.16,10.46,0.25,96.25
23.84,77.12,2.56,3.9,30.59,14.4,8.62,0.14,11.16,0.3,96.71
22.84,68.88,2.84,4.63,32.17,11.18,8.23,0.3,10.2,0.2,96.78
23.08,49.12,2.98,4.79,34.1,11.51,5.77,0.09,8.09,0.05,96.87
24.01,41.56,3.02,4.77,34.7,13.65,6.12,0.38,9.07,0.5,96.96
25.68,42.75,3.34,5.21,36.12,11.73,6.66,0.29,9.79,0.4,96.84
29.9,27.25,3.47,5.14,40.55,14.68,9.29,0.14,11.33,0.05,96.63
32.5,34.81,3.28,4.72,41.73,21.9,7.56,0.24,10.01,0.24,96.3
35.56,29.56,4.44,5.89,45.59,25.19,9.54,0.13,11.9,0.26,95.93
27.35,74.44,5.27,7.12,36.31,22.2,10.3,0.02,13.8,0.09,95.83
25.23,85.12,5.85,8.09,31.56,21.28,10.43,1.76,13.22,2.67,95.78
24.87,87.06,4.3,6.24,30.76,21.39,9.51,0.24,12.94,0.33,96.06
25.24,85.5,2.83,4.22,30.12,19.42,8.8,0.08,11.63,0.08,96.21
24.05,84.5,2.73,4.09,29.97,16.41,7.91,0.12,10.02,0.16,96.49
21.02,79.62,2.7,4.26,29.2,11.5,5.73,0.8,7.45,1.06,96.93
19.69,64.81,2.92,4.6,29.49,9.98,6.47,0.06,8.86,0.09,96.97
22.13,56.38,3.29,5.16,31.48,12.38,6.77,0.45,9.3,0.65,97.08
24.56,37.75,3.3,4.91,34.94,12.85,7.52,0.51,9.06,0.44,96.76
26.98,52.06,2.62,3.98,40.59,15.67,6.38,0.02,9.59,0.03,96.8
33.14,28.69,2.5,3.68,42.32,21.27,7.15,0.25,9.57,0.31,96.48
33.09,40.5,3.38,4.62,43.37,21.98,8.16,0.2,10.25,0.29,96.19
32.18,49.31,5.17,6.9,43.44,24.31,10.07,0.14,12.03,0.25,95.89
27.45,71.81,5.73,7.76,38.02,22.32,10.77,0.78,13.42,1.01,95.94
26.86,76.5,3.52,5.11,33.94,21.16,8.64,0.27,10.73,0.35,96.12
24.98,82.38,3.77,5.57,31.01,18.79,8.82,0.37,11.27,0.49,96.33
25.21,68.62,2.83,4.52,34.54,14.75,8.12,0.03,10.17,0.07,96.75
24.0,51.19,3.02,4.84,34.12,14.71,6.95,0.14,9.14,0.14,96.91
21.67,42.25,3.02,4.88,33.22,9.76,5.7,0.69,8.65,0.45,97.0
21.17,44.31,3.23,5.05,32.88,9.42,6.57,0.23,8.73,0.44,97.08
25.39,31.88,3.05,4.66,36.3,14.13,6.57,0.13,9.31,0.17,96.9
28.2,41.25,2.94,4.46,40.0,13.91,7.05,0.04,10.25,0.14,96.83
30.33,42.62,2.86,4.11,42.05,18.65,7.16,0.2,9.4,0.27,96.49
34.69,31.38,3.88,5.39,45.9,23.47,10.05,0.2,12.06,0.17,96.15
29.49,62.0,5.24,7.0,41.08,22.97,11.45,0.38,14.13,0.41,95.98
28.67,65.06,5.26,7.17,36.74,22.29,9.42,0.39,11.34,0.55,96.04
26.74,77.19,3.92,5.55,34.81,22.25,10.29,0.16,12.59,0.23,96.21
26.73,75.94,2.73,4.08,34.15,18.8,9.3,0.13,11.68,0.23,96.38
27.69,57.69,2.83,4.39,36.59,20.25,5.48,0.21,8.05,0.52,96.76
26.33,49.88,3.45,5.27,35.06,17.37,7.38,0.93,8.89,0.94,96.88
25.02,37.62,2.71,4.25,35.73,10.44,6.29,0.11,8.66,0.13,97.03
23.21,32.44,2.78,4.23,35.92,11.4,6.38,0.11,8.95,0.03,97.03
27.91,32.25,3.11,4.63,39.44,14.78,8.88,0.23,10.46,0.23,96.84
30.98,28.88,2.96,4.45,41.48,20.07,6.43,0.13,9.56,0.22,96.66
34.91,24.06,2.88,4.16,43.73,23.08,6.84,0.05,9.39,0.16,96.32
34.77,35.62,4.48,6.01,44.01,24.12,10.38,0.11,12.35,0.22,96.09
29.84,62.56,4.53,6.02,42.16,23.23,8.51,0.15,10.95,0.21,95.96
26.28,80.19,5.01,6.88,32.86,22.08,12.46,1.05,15.71,1.55,95.99
26.37,78.31,4.61,6.5,33.57,21.34,9.88,0.22,12.55,0.45,96.05
25.2,84.06,3.92,5.79,32.0,20.2,7.27,0.45,9.75,0.64,96.21
23.27,76.94,2.73,4.09,30.02,13.58,5.69,0.12,7.52,0.16,96.6
20.84,62.75,2.44,3.74,32.36,12.19,5.05,0.22,7.59,0.23,96.95
20.78,47.44,2.76,4.27,32.26,10.15,6.04,0.38,8.93,0.51,97.0
21.98,36.19,2.81,4.43,34.33,10.67,5.6,0.36,8.79,0.38,97.02
25.83,25.38,2.94,4.35,37.95,15.16,7.24,0.33,8.62,0.36,96.95
29.11,26.12,3.03,4.58,42.47,15.61,8.23,0.27,9.98,0.3,96.57
33.58,17.69,2.92,4.16,44.08,20.8,7.56,0.1,9.64,0.16,96.33
35.66,28.0,3.98,5.43,44.75,25.58,9.26,0.18,11.25,0.13,96.11
29.26,65.81,4.7,6.28,42.1,22.76,9.23,0.24,11.29,0.2,95.98
27.26,73.38,5.77,7.9,34.55,22.3,9.94,1.51,12.39,2.79,96.01
26.26,78.62,3.84,5.45,33.53,19.51,8.41,0.12,11.27,0.19,96.03
26.48,79.62,2.62,3.95,32.59,20.98,6.28,0.18,7.92,0.2,96.32
25.64,73.75,2.27,3.55,34.37,16.63,5.5,0.14,7.21,0.18,96.49
23.53,59.56,2.91,4.74,33.47,13.5,5.95,0.57,8.63,0.65,96.81
21.78,42.5,3.05,4.8,32.96,11.29,6.32,0.37,8.48,0.41,97.0
22.07,27.94,2.72,4.14,33.16,12.08,5.51,0.38,7.88,0.48,96.87
25.72,30.06,2.97,4.59,37.21,14.4,6.8,0.43,8.8,0.41,96.89
29.99,23.69,2.59,3.99,41.74,19.57,5.97,0.15,8.07,0.04,96.6
33.33,28.62,2.88,4.25,44.36,21.76,6.32,0.07,8.56,0.19,96.33
35.17,32.75,3.49,4.7,43.88,26.19,9.77,0.13,12.1,0.1,96.08
28.91,66.06,4.52,6.12,39.15,22.83,9.82,0.09,12.09,0.13,95.92
26.69,74.69,5.81,7.96,34.28,21.9,9.86,1.11,12.34,2.15,95.89
26.02,78.56,5.32,7.45,34.4,21.65,9.75,0.41,12.58,0.71,96.01
25.85,76.38,2.99,4.39,33.79,19.18,7.71,0.18,9.94,0.08,96.43
26.55,56.56,3.03,4.66,36.19,16.44,8.03,0.26,9.85,0.42,96.78
